"DEVELOPMENT","TDS #","BUILDING #","STAIRHALL#","BOROUGH","HOUSE #","STREET","ADDRESS","CITY","STATE","ZIP CODE","BIN","BLOCK","LOT","BOROUGH/BLOCK/LOT #","CENSUS TRACT (2020)","NEIGHBORHOOD TABULATION AREA CODE","NEIGHBORHOOD TABULATION AREA NAME","COMMUNITY DISTRICT","CITY COUNCIL DISTRICT","STATE ASSEMBLY DISTRICT","STATE SENATE DISTRICT","US CONGRESSIONAL DISTRICT","PRIVATELY MANAGED","LATITUDE","LONGITUDE"
"PELHAM PARKWAY","39","20","032","BRONX","2245","BRONXWOOD AVENUE","2245 BRONXWOOD AVENUE","BRONX","NY","10,469","2093362","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858772","-73.862233"
"PELHAM PARKWAY","39","21","033","BRONX","2220","WALLACE AVENUE","2220 WALLACE AVENUE","BRONX","NY","10,467","2093364","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858478","-73.86425"
"PELHAM PARKWAY","39","21","034","BRONX","795","PELHAM PARKWAY NORTH","795 PELHAM PARKWAY NORTH","BRONX","NY","10,467","2093364","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858274","-73.864007"
"PELHAM PARKWAY","39","22","035","BRONX","805","PELHAM PARKWAY NORTH","805 PELHAM PARKWAY NORTH","BRONX","NY","10,467","2093365","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858517","-73.86344"
"PELHAM PARKWAY","39","22","036","BRONX","815","PELHAM PARKWAY NORTH","815 PELHAM PARKWAY NORTH","BRONX","NY","10,467","2093365","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.8583","-73.863191"
"PELHAM PARKWAY","39","23","037","BRONX","2225","BRONXWOOD AVENUE","2225 BRONXWOOD AVENUE","BRONX","NY","10,469","2093367","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858445","-73.862552"
"PELHAM PARKWAY","39","23","038","BRONX","2215","BRONXWOOD AVENUE","2215 BRONXWOOD AVENUE","BRONX","NY","10,469","2093367","4349","1","2043490001","328","BX1104","Allerton","11","13","80","33","15",,"40.858283","-73.862242"
"PINK","89","1","001","BROOKLYN","2628","LINDEN BOULEVARD","2628 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3324208","4486","1","3044860001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668192","-73.867445"
"PINK","89","2","002","BROOKLYN","2630","LINDEN BOULEVARD","2630 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3324207","4486","1","3044860001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668254","-73.866992"
"PINK","89","3","003","BROOKLYN","2676","LINDEN BOULEVARD","2676 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3326993","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668451","-73.865623"
"PINK","89","4","004","BROOKLYN","2678","LINDEN BOULEVARD","2678 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3326994","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668517","-73.865176"
"PINK","89","5","005","BROOKLYN","2724","LINDEN BOULEVARD","2724 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3326996","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668712","-73.863856"
"PINK","89","6","006","BROOKLYN","2726","LINDEN BOULEVARD","2726 LINDEN BOULEVARD","BROOKLYN","NY","11,208","3326208","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.66878","-73.863392"
"PINK","89","7","007","BROOKLYN","1209","LORING AVENUE","1209 LORING AVENUE","BROOKLYN","NY","11,208","3324206","4486","1","3044860001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.667571","-73.867364"
"PINK","89","8","008","BROOKLYN","1211","LORING AVENUE","1211 LORING AVENUE","BROOKLYN","NY","11,208","3324205","4486","1","3044860001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.667655","-73.866757"
"PINK","89","9","009","BROOKLYN","1257","LORING AVENUE","1257 LORING AVENUE","BROOKLYN","NY","11,208","3326209","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.66782","-73.865553"
"PINK","89","10","010","BROOKLYN","1259","LORING AVENUE","1259 LORING AVENUE","BROOKLYN","NY","11,208","3326997","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.667923","-73.864942"
"PINK","89","11","011","BROOKLYN","1305","LORING AVENUE","1305 LORING AVENUE","BROOKLYN","NY","11,208","3326998","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.668081","-73.863778"
"PINK","89","12","012","BROOKLYN","1307","LORING AVENUE","1307 LORING AVENUE","BROOKLYN","NY","11,208","3326999","4488","1","3044880001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.66817","-73.863163"
"PINK","89","13","013","BROOKLYN","1210","LORING AVENUE","1210 LORING AVENUE","BROOKLYN","NY","11,208","3327749","4508","1","3045080001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666609","-73.867132"
"PINK","89","14","014","BROOKLYN","1212","LORING AVENUE","1212 LORING AVENUE","BROOKLYN","NY","11,208","3327750","4508","1","3045080001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666686","-73.866513"
"PINK","89","15","015","BROOKLYN","1258","LORING AVENUE","1258 LORING AVENUE","BROOKLYN","NY","11,208","3327760","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.66691","-73.865248"
"PINK","89","16","016","BROOKLYN","1260","LORING AVENUE","1260 LORING AVENUE","BROOKLYN","NY","11,208","3327755","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666971","-73.864786"
"PINK","89","17","017","BROOKLYN","1306","LORING AVENUE","1306 LORING AVENUE","BROOKLYN","NY","11,208","3327756","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.667156","-73.863467"
"PINK","89","18","018","BROOKLYN","1308","LORING AVENUE","1308 LORING AVENUE","BROOKLYN","NY","11,208","3327757","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.667217","-73.863022"
"PINK","89","19","019","BROOKLYN","1165","STANLEY AVENUE","1165 STANLEY AVENUE","BROOKLYN","NY","11,208","3327751","4508","1","3045080001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666028","-73.866908"
"PINK","89","20","020","BROOKLYN","1167","STANLEY AVENUE","1167 STANLEY AVENUE","BROOKLYN","NY","11,208","3327752","4508","1","3045080001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666091","-73.866453"
"PINK","89","21","021","BROOKLYN","1237","STANLEY AVENUE","1237 STANLEY AVENUE","BROOKLYN","NY","11,208","3327758","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666414","-73.864196"
"PINK","89","22","022","BROOKLYN","1239","STANLEY AVENUE","1239 STANLEY AVENUE","BROOKLYN","NY","11,208","3327759","4510","1","3045100001","1,214","BK0505","East New York-City Line","5","42","60","19","8",,"40.666483","-73.863758"
"POLO GROUNDS TOWERS","149","1","001","MANHATTAN","2931","FREDERICK DOUGLASS BOULEVARD","2931 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084518","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.829834","-73.93729"
"POLO GROUNDS TOWERS","149","1","002","MANHATTAN","2937","FREDERICK DOUGLASS BOULEVARD","2937 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084518","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.829972","-73.937641"
"POLO GROUNDS TOWERS","149","2","003","MANHATTAN","2971","FREDERICK DOUGLASS BOULEVARD","2971 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084520","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.831043","-73.937636"
"POLO GROUNDS TOWERS","149","2","004","MANHATTAN","2979","FREDERICK DOUGLASS BOULEVARD","2979 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084520","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.831268","-73.937479"
"POLO GROUNDS TOWERS","149","3","005","MANHATTAN","2949","FREDERICK DOUGLASS BOULEVARD","2949 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084519","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.830986","-73.938388"
"POLO GROUNDS TOWERS","149","3","006","MANHATTAN","2955","FREDERICK DOUGLASS BOULEVARD","2955 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084519","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.831133","-73.938739"
"POLO GROUNDS TOWERS","149","4","007","MANHATTAN","2991","FREDERICK DOUGLASS BOULEVARD","2991 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084521","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.831939","-73.937523"
"POLO GROUNDS TOWERS","149","4","008","MANHATTAN","2999","FREDERICK DOUGLASS BOULEVARD","2999 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10,039","1084521","2106","3","1021060003","24,302","MN1002","Harlem (North)","10","9","71","30","13",,"40.832082","-73.937899"
"POMONOK","53","1","001","QUEENS","65-14","PARSONS BOULEVARD","65-14 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455414","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736446","-73.810965"
"POMONOK","53","1","002","QUEENS","65-12","PARSONS BOULEVARD","65-12 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455414","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736178","-73.810927"
"POMONOK","53","1","003","QUEENS","65-10","PARSONS BOULEVARD","65-10 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455414","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735904","-73.810885"
"POMONOK","53","2","004","QUEENS","65-16","PARSONS BOULEVARD","65-16 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455415","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736295","-73.81136"
"POMONOK","53","2","005","QUEENS","65-18","PARSONS BOULEVARD","65-18 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455415","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736451","-73.811498"
"POMONOK","53","3","006","QUEENS","65-20","PARSONS BOULEVARD","65-20 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455416","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736596","-73.811942"
"POMONOK","53","3","007","QUEENS","65-22","PARSONS BOULEVARD","65-22 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455416","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736328","-73.811905"
"POMONOK","53","3","008","QUEENS","65-24","PARSONS BOULEVARD","65-24 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455416","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.736054","-73.811872"
"POMONOK","53","4","009","QUEENS","65-52","PARSONS BOULEVARD","65-52 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735466","-73.810909"
"POMONOK","53","4","010","QUEENS","65-54","PARSONS BOULEVARD","65-54 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735474","-73.811122"
"POMONOK","53","4","011","QUEENS","65-56","PARSONS BOULEVARD","65-56 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735358","-73.811132"
"POMONOK","53","4","012","QUEENS","65-58","PARSONS BOULEVARD","65-58 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.7352","-73.811142"
"POMONOK","53","4","013","QUEENS","65-60","PARSONS BOULEVARD","65-60 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735196","-73.810914"
"POMONOK","53","4","014","QUEENS","65-62","PARSONS BOULEVARD","65-62 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734917","-73.810891"
"POMONOK","53","4","015","QUEENS","65-64","PARSONS BOULEVARD","65-64 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455420","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734766","-73.810901"
"POMONOK","53","5","016","QUEENS","65-40","PARSONS BOULEVARD","65-40 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455418","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735563","-73.81151"
"POMONOK","53","5","017","QUEENS","65-38","PARSONS BOULEVARD","65-38 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455418","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735643","-73.811847"
"POMONOK","53","5","018","QUEENS","65-36","PARSONS BOULEVARD","65-36 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455418","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735622","-73.812198"
"POMONOK","53","5","019","QUEENS","65-34","PARSONS BOULEVARD","65-34 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455418","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735376","-73.812208"
"POMONOK","53","5","020","QUEENS","65-32","PARSONS BOULEVARD","65-32 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455418","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735185","-73.812223"
"POMONOK","53","6","021","QUEENS","65-48","PARSONS BOULEVARD","65-48 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455419","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73501","-73.811729"
"POMONOK","53","6","022","QUEENS","65-46","PARSONS BOULEVARD","65-46 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455419","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73484","-73.811744"
"POMONOK","53","6","023","QUEENS","65-44","PARSONS BOULEVARD","65-44 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455419","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734852","-73.812005"
"POMONOK","53","6","024","QUEENS","65-42","PARSONS BOULEVARD","65-42 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455419","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734773","-73.812262"
"POMONOK","53","7","025","QUEENS","65-30","PARSONS BOULEVARD","65-30 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455417","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73536","-73.812488"
"POMONOK","53","7","026","QUEENS","65-28","PARSONS BOULEVARD","65-28 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455417","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735634","-73.81252"
"POMONOK","53","7","027","QUEENS","65-26","PARSONS BOULEVARD","65-26 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455417","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735916","-73.812562"
"POMONOK","53","8","028","QUEENS","67-11","KISSENA BOULEVARD","67-11 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735249","-73.813034"
"POMONOK","53","8","029","QUEENS","67-15","KISSENA BOULEVARD","67-15 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735075","-73.813044"
"POMONOK","53","8","030","QUEENS","67-19","KISSENA BOULEVARD","67-19 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73471","-73.812983"
"POMONOK","53","8","031","QUEENS","67-17","KISSENA BOULEVARD","67-17 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734894","-73.812821"
"POMONOK","53","8","032","QUEENS","67-21","KISSENA BOULEVARD","67-21 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734834","-73.813135"
"POMONOK","53","8","033","QUEENS","67-23","KISSENA BOULEVARD","67-23 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734845","-73.813358"
"POMONOK","53","8","034","QUEENS","67-25","KISSENA BOULEVARD","67-25 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734679","-73.813368"
"POMONOK","53","8","035","QUEENS","67-27","KISSENA BOULEVARD","67-27 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455431","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734658","-73.813767"
"POMONOK","53","9","036","QUEENS","67-07","KISSENA BOULEVARD","67-07 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455430","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735054","-73.813928"
"POMONOK","53","9","037","QUEENS","67-05","KISSENA BOULEVARD","67-05 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455430","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.735069","-73.814289"
"POMONOK","53","9","038","QUEENS","67-03","KISSENA BOULEVARD","67-03 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455430","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734932","-73.814299"
"POMONOK","53","9","039","QUEENS","67-01","KISSENA BOULEVARD","67-01 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455430","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734755","-73.814309"
"POMONOK","53","10","040","QUEENS","67-45","KISSENA BOULEVARD","67-45 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455435","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734259","-73.814524"
"POMONOK","53","10","041","QUEENS","67-47","KISSENA BOULEVARD","67-47 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455435","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733963","-73.814487"
"POMONOK","53","11","042","QUEENS","67-41","KISSENA BOULEVARD","67-41 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455434","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733918","-73.813955"
"POMONOK","53","11","043","QUEENS","67-39","KISSENA BOULEVARD","67-39 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455434","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734347","-73.813897"
"POMONOK","53","12","044","QUEENS","67-35","KISSENA BOULEVARD","67-35 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455433","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734303","-73.813365"
"POMONOK","53","12","045","QUEENS","67-37","KISSENA BOULEVARD","67-37 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455433","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733866","-73.813428"
"POMONOK","53","13","046","QUEENS","67-33","KISSENA BOULEVARD","67-33 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455432","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733666","-73.812853"
"POMONOK","53","13","047","QUEENS","67-31","KISSENA BOULEVARD","67-31 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455432","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734052","-73.81279"
"POMONOK","53","13","048","QUEENS","67-29","KISSENA BOULEVARD","67-29 KISSENA BOULEVARD","FLUSHING","NY","11,367","4455432","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734323","-73.812823"
"POMONOK","53","14","049","QUEENS","67-16","PARSONS BOULEVARD","67-16 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455423","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734331","-73.81212"
"POMONOK","53","14","050","QUEENS","67-18","PARSONS BOULEVARD","67-18 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455423","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734064","-73.812082"
"POMONOK","53","14","051","QUEENS","67-20","PARSONS BOULEVARD","67-20 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455423","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733793","-73.812045"
"POMONOK","53","15","052","QUEENS","67-12","PARSONS BOULEVARD","67-12 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455422","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734149","-73.811488"
"POMONOK","53","15","053","QUEENS","67-14","PARSONS BOULEVARD","67-14 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455422","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734304","-73.811621"
"POMONOK","53","16","054","QUEENS","67-02","PARSONS BOULEVARD","67-02 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455421","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.734291","-73.811096"
"POMONOK","53","16","055","QUEENS","67-04","PARSONS BOULEVARD","67-04 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455421","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73402","-73.811059"
"POMONOK","53","16","056","QUEENS","67-08","PARSONS BOULEVARD","67-08 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455421","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733749","-73.811022"
"POMONOK","53","17","057","QUEENS","67-28","PARSONS BOULEVARD","67-28 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455425","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733314","-73.81109"
"POMONOK","53","17","058","QUEENS","67-30","PARSONS BOULEVARD","67-30 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455425","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733155","-73.81109"
"POMONOK","53","17","059","QUEENS","67-32","PARSONS BOULEVARD","67-32 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455425","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732934","-73.810953"
"POMONOK","53","18","060","QUEENS","67-42","PARSONS BOULEVARD","67-42 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455426","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732604","-73.811216"
"POMONOK","53","18","061","QUEENS","67-40","PARSONS BOULEVARD","67-40 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455426","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732604","-73.811415"
"POMONOK","53","18","062","QUEENS","67-38","PARSONS BOULEVARD","67-38 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455426","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732619","-73.811572"
"POMONOK","53","18","063","QUEENS","67-36","PARSONS BOULEVARD","67-36 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455426","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732788","-73.811572"
"POMONOK","53","18","064","QUEENS","67-34","PARSONS BOULEVARD","67-34 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455426","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732897","-73.811548"
"POMONOK","53","19","065","QUEENS","67-22","PARSONS BOULEVARD","67-22 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455424","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733327","-73.811547"
"POMONOK","53","19","066","QUEENS","67-26","PARSONS BOULEVARD","67-26 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455424","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.733342","-73.811879"
"POMONOK","53","19","067","QUEENS","67-24","PARSONS BOULEVARD","67-24 PARSONS BOULEVARD","FLUSHING","NY","11,365","4455424","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73335","-73.812126"
"POMONOK","53","20","068","QUEENS","155-19","JEWEL AVENUE","155-19 JEWEL AVENUE","FLUSHING","NY","11,367","4455429","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.73311","-73.812313"
"POMONOK","53","20","069","QUEENS","155-21","JEWEL AVENUE","155-21 JEWEL AVENUE","FLUSHING","NY","11,367","4455429","6792","30","4067920030","122,702","QN0802","Pomonok-Electchester-Hillcrest","8","24","27","16","6",,"40.732836","-73.812281"
