"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"DOE","Manhattan","Child Care","Occupied","Baruch","300 Delancey Street","Grand Street Settlement, Inc.","10002","40.715709","-73.979168","103","2","1002","1078037","1003230001","MN0302"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Polo Grounds Towers","3005 Frederick Douglass Boulevard","Police Athletic League, Inc.",,,,,,,,,
,"Manhattan","Union Settlement Association","Construction","Metro North Plaza","304 East 102nd Street","Vacant","10029","40.787977","-73.944153","111","8","164","1079341","1016730006","MN1101"
"AGING","Manhattan","Senior Center","Occupied","Corsi Houses","307 East 116th Street","Union Settlement Association","10029","40.796935","-73.93759","111","8","188","1079357","1016880045","MN1102"
"OTHER","Manhattan","Community Center / Sports","Occupied","Corsi Houses","307 East 116th Street","Harlem RBI d/b/a DREAM","10029","40.796935","-73.93759","111","8","188","1079357","1016880045","MN1102"
,"Manhattan","TA USE","Occupied","Grant","3170 Broadway","NYCHA","10027","40.814794","-73.958928","109","7","211","1084118","1019800001","MN0901"
"AGING","Manhattan","Senior Center","Occupied","Vladeck","334 Madison Street","Henry Street Settlement, Inc.","10002","40.713266","-73.983237","103","1","202","1077526","1002600001","MN0302"
,"Manhattan","Neighborhood Offices","Occupied","Wald","34 Avenue D","NYCHA","10009","40.721351","-73.977723","103","2","20","1078048","1003560001","MN0303"
"AGING","Manhattan","Senior Center","Occupied","Robbins Plaza","343 East 70th Street # 2A, 2B, 2C, 3B","Lenox Hill Neighborhood House","10021","40.766686","-73.95739","108","5","12601","1044841","1014450023","MN0801"
"DOE","Manhattan","Child Care","Occupied","Metro North Plaza","345 East 101st Street","Addie Mae Collins Community Services, Inc.","10029","40.787019","-73.943742","111","8","164","1079340","1016730006","MN1101"
"AGING","Manhattan","NORC","Occupied","Vladeck","351 Madison Street  1B, 1C, 1E","Henry Street Settlement, Inc.",,,,,,,,,
,"Manhattan","Neighborhood Administrator Office and Planning Unit","Occupied","Wald","36 Avenue D","NYCHA","10009","40.721382","-73.977701","103","2","20","1078048","1003560001","MN0303"
"OTHER","Manhattan","Family/Youth Program / Meals on Wheels Offices","Occupied","Vladeck","367 Madison Street","Henry Street Settlement, Inc.","10002","40.713395","-73.982282","103","1","202","1083405","1002670024","MN0302"
"DOE","Manhattan","Child Care","Occupied","Dyckman","3732 Tenth Avenue","The Friends of Crown Heights Educational Centers, Inc.","10034","40.859898","-73.922264","112","10","299","1080030","1022160001","MN1203"
"AGING","Manhattan","Senior Center","Occupied","Dyckman","3754 Tenth Avenue","New York Foundation For Senior Citizens","10034","40.860844","-73.921587","112","10","299","1080032","1022160001","MN1203"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Dyckman","3782 Tenth Avenue","Children's Arts and Science Workshop, Inc.","10034","40.861366","-73.921207","112","10","299","1080033","1022160001","MN1203"
"OTHER","Manhattan","Community Center/ Health Clinic","Occupied","La Guardia","40 Montgomery Street","Henry Street Settlement, Inc.","10002","40.71288","-73.985038","103","1","201","1083385","1002580001","MN0301"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","East River","402 - 404 East 105th Street","SCAN-Harbor, Inc.","10029","40.788908","-73.940486","111","8","162","1083941","1016960001","MN1101"
"OTHER","Manhattan","Business Development","Occupied","East River","402 East 105th Street","Union Settlement Association","10029","40.788908","-73.940486","111","8","162","1083941","1016960001","MN1101"
,"Manhattan",,"Vacant","East River","414 - 416 East 105th Street","Vacant","10029","40.788689","-73.939959","111","8","162","1083946","1016960001","MN1101"
"AGING","Manhattan","Senior Center/ NORC/Food Pantry","Occupied","Isaacs","415 East 93rd Street","Stanley M. Isaacs Neighborhood Center","10128","40.780904","-73.945112","108","8","152","1082367","1015730001","MN0803"
"OTHER","Manhattan","Computer Lab","Occupied","Fulton","418 West 17th Street","Hudson Guild","10011","40.743185","-74.004756","104","3","83","1078411","1007140031","MN0401"
"OTHER","Manhattan","Case Management - Seniors","Occupied","Chelsea","428 West 26th Street - PRAM + locker rooms","Hudson Guild",,,,,,,,,
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Wagner","435 East 120th Street","SCAN-Harbor, Inc.","10035","40.798041","-73.932186","111","8","192","1081287","1018080001","MN1102"
"AGING","Manhattan","Senior Center","Occupied","Wagner","435 East 120th Street","Union Settlement Association","10035","40.798041","-73.932186","111","8","192","1081287","1018080001","MN1102"
"AGING /DOE/ OTHER","Manhattan","NORC/ Child Care / Health Clinic / COMPASS","Occupied","Chelsea Addition","441 West 26th Street","Hudson Guild","10001","40.749196","-74.001815","104","3","97","1012827","1007240010","MN0401"
,"Manhattan",,"Vacant","Elliott","447 West 25th Street","Vacant","10001","40.748579","-74.002277","104","3","93","1083579","1007230001","MN0401"
,"Manhattan",,"Construction","Wagner","451 East 120th Street","Vacant","10035","40.797802","-73.931619","111","8","192","1081290","1018080001","MN1102"
,"Manhattan",,"Construction","East River","453 East 102nd Street","Vacant","10029","40.786271","-73.940034","111","8","162","1083942","1016960001","MN1101"
"DOE","Manhattan","Child Care","Occupied","Elliott","459 West 26th Street","Hudson Guild","10001","40.74938","-74.002252","104","3","97","1083583","1007240001","MN0401"
,"Manhattan",,"RESERVED","Riis","464 East 10th Street","Henry Street Settlement, Inc.","10009","40.724601","-73.97454","103","2","24","1077538","1003620010","MN0303"
"AGING","Manhattan","Senior Center","Occupied","King Towers","50 Lenox Avenue","Presbyterian Senior Services","10026","40.799593","-73.951421","110","9","186","1083312","1015960001","MN1001"
"AGING","Manhattan","NORC/ Community Center","Occupied","Smith","50 Madison Street","Hamilton-Madison House, Inc.","10038","40.711958","-73.997825","103","1","25","1077420","1001110100","MN0301"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Manhattanville","530 West 133rd Street","Graham Windham Services to Families & Children","10027","40.818127","-73.954478","109","7","219","1084130","1019840001","MN0902"
"AGING","Manhattan","Senior Center","Occupied","Manhattanville","530 West 133rd Street","Presbyterian Senior Services","10027","40.818127","-73.954478","109","7","219","1084130","1019840001","MN0902"
"AGING","Manhattan","Senior Center","Occupied","Harborview Terrace","530 West 55th Street","Find Aid for The Aged, Inc.","10019","40.768258","-73.990588","104","6","13502","1027059","1010830015","MN0402"
,"Manhattan","Manhattan CCTV Unit","Occupied","Harborview Terrace","536 West 56th Street","NYCHA","10019","40.769104","-73.990646","104","6","13502","1027061","1010840009","MN0402"
"OTHER","Manhattan","Cure Violence","Occupied","Claremont Rehab (Group 5)","1131 Findlay Avenue","Urban Youth Alliance, Inc.",,,,,,,,,
"AGING","Manhattan","Senior Center","Occupied","Carver","55 East 102nd Street","IPRHE / Acacia Network","10029","40.79084","-73.950853","111","8","168","1082659","1016080023","MN1101"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Seward Park Extension","56 Essex Street","Grand Street Settlement, Inc.","10002","40.716838","-73.989077","103","1","18","1083429","1003510001","MN0302"
"DOE","Manhattan","Child Care","Occupied","Smith","60 Catherine Street","Hamilton-Madison House, Inc.","10038","40.711566","-73.99684","103","1","25","1077421","1001110100","MN0301"
,"Manhattan",,"Vacant","Lincoln","60 East 135th Street","Vacant","10037","40.81161","-73.934935","111","9","210","1081120","1017570020","MN1102"
"DOE","Manhattan","Child Care","Occupied","Seward Park Extension","60 Essex Street","Grand Street Settlement, Inc.","10002","40.717011","-73.988987","103","1","18","1083429","1003510001","MN0302"
"OTHER","Manhattan","Health and Wellness Center","Occupied","Smith","60 Madison Street","Vision Urbana, Inc.","10038","40.712019","-73.997309","103","1","25","1077421","1001110100","MN0301"
"OTHER","Manhattan","Urban Family Center / Community Room","RESERVED","Baruch","605 FDR Drive - sep entrance","Henry Street Settlement, Inc.","10002","40.718356","-73.97521","103","2","1002","1078027","1003230001","MN0302"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Baruch","605 FDR Drive - sep entrance","Grand Street Settlement, Inc.","10002","40.718356","-73.97521","103","2","1002","1078027","1003230001","MN0302"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Campos Plaza II","611 East 13th Street","University Settlement Society of New York, Inc.","10009","40.728579","-73.978114","103","2","28","1077502","1003960010","MN0303"
"OTHER","Manhattan","Food Pantry & Offices","Occupied","Seward Park Extension","64-66 Essex Street (MNGMT OFFICE)","Vision Urbana, Inc.","10002","40.717165","-73.988907","103","1","18","1083428","1003510001","MN0302"
"OTHER","Manhattan","Community Center","Occupied","WSUR (Site B) 74 West 92nd Street","647 Columbus Avenue (74 W. 92nd St)","Goddard Riverside Community Center","10025","40.789927","-73.96965","107","6","177","1031623","1012050001","MN0702"
"OTHER","Manhattan","Food Pantry","Occupied","Seward Park Extension","66 Essex Street (PRAM ROOM)","Vision Urbana, Inc.","10002","40.717291","-73.988842","103","1","18","1083428","1003510001","MN0302"
"OTHER","Manhattan","Health Clinic *","Occupied","DeHostos Apartments","690 Amsterdam Avenue","Institute for Family Health, The","10025","40.792464","-73.971538","107","7","179","1033648","1012410025","MN0702"
"AGING","Manhattan","NORC","Occupied","Baruch Houses Addition","72 Columbia Street","Grand Street Settlement, Inc.","10002","40.717007","-73.980268","103","2","1002","1078043","1003230001","MN0302"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Riis II","80 Avenue D / 807 East 6th Street","Henry Street Settlement, Inc.",,,,,,,,,
,"Manhattan","Neighborhood Offices","Occupied","Lehman Village","80 East 110th Street","NYCHA","10029","40.79568","-73.946555","111","8","17401","1078868","1016150023","MN1101"
"AGING/OTHER","Manhattan","Senior Center/ Community Center/ Child Care","Occupied","Gompers","80 Pitt Street","Grand Street Settlement, Inc.","10002","40.718328","-73.98245","103","2","2201","1084357","1003380001","MN0302"
"DOE","Manhattan","Child Care","Occupied","Douglas II","820 Columbus Avenue","Open Door Associates, Inc.","10025","40.795506","-73.965603","107","7","189","1079347","1018550001","MN0703"
"DOE","Manhattan","Child Care","Occupied","Carver","1565 Madison Avenue","Union Settlement Association","10029","40.793315","-73.94971","111","8","168","1078840","1016100023","MN1101"
"AGING","Manhattan","Senior Center","Occupied","Douglass Addition","868 Amsterdam Avenue","West Side Federation for Senior and Supportive Housing, Inc.","10025","40.798169","-73.967371","107","7","191","1079429","1018740029","MN0703"
"OTHER","Manhattan","COMPASS","Occupied","Douglass I","885 Columbus Avenue","Children's Aid Society, The","10025","40.797762","-73.963944","107","7","189","1081301","1018360001","MN0703"
"OTHER","Manhattan","COMPASS","Occupied","Wald","888 East 6th Street","Henry Street Settlement, Inc.","10009","40.722175","-73.97615","103","2","20","1078051","1003560001","MN0303"
,"Manhattan","Neighborhood Administrators","Occupied","Amsterdam","90 Amsterdam Avenue","NYCHA","10023","40.773176","-73.985605","107","6","15101","1082576","1011540101","MN0701"
,"Manhattan",,"Vacant","Riis II","90 Avenue D","Vacant","10009","40.723113","-73.976442","103","2","24","1077551","1003620001","MN0303"
,"Manhattan","Neighborhood Offices","Occupied","Wald","930-4 East Fourth Walk","NYCHA","10009","40.720695","-73.976526","103","2","20","1078057","1003560001","MN0303"
,"Manhattan","Neighborhood Offices","Occupied","Amsterdam","94 Amsterdam Avenue","NYCHA","10023","40.773316","-73.985501","107","6","15101","1082576","1011540101","MN0701"
"AGING","Manhattan","Senior Center","Occupied","Meltzer Towers","94 East 1st Street","University Settlement Society of New York, Inc.","10009","40.722827","-73.987402","103","2","3002","1005743","1004290021","MN0303"
"AGING/OTHER","Queens","Senior Center/COMPASS","Occupied","Queensbridge North","10-25 41st Avenue","Jacob A. Riis Neighborhood Settlement, Inc.","11101","40.755488","-73.945328","401","26","25","4433386","4004700100","QN0105"
"Direct Head Start","Queens","Child Care","Occupied","Queensbridge South","10-26 41st Avenue","Police Athletic League, Inc.","11101","40.755455","-73.945299","401","26","25","4433390","4004650100","QN0105"
"OTHER","Queens","Health Clinic","Occupied","Queensbridge North","10-29 41st Avenue","Floating Hospital","11101","40.75545","-73.945248","401","26","25","4595582","4004700100","QN0105"
"OTHER","Queens","Mentoring/Case Management","Occupied","Queensbridge South","10-30 41st Avenue","Community Mediation Services, Inc.","11101","40.755417","-73.945223","401","26","25","4595567","4004650100","QN0105"
"OTHER","Queens","Education /Literacy Center","Occupied","Queensbridge North","10-43 41st Avenue","Queens Borough Public Library","11101","40.755329","-73.945014","401","26","25","4595582","4004700100","QN0105"
,"Queens","Vacant Viper Rom","RESERVED","South Jamaica I","107-04 159th Street","Renaissance Technical Institute","11433","40.696803","-73.795109","412","28","25402","4440734","4101250033","QN1202"
,"Queens","TA USE","Occupied","South Jamaica I","107-60 159th Street","NYCHA","11433","40.695479","-73.794139","412","28","25402","4440737","4101250033","QN1202"
"DYCD","Queens","Community Center - Cornerstone","Occupied","South Jamaica II","109-04 160th Street","Southern Queens Park Association","11433","40.693957","-73.792027","412","28","260","4435245","4121480100","QN1202"
,"Queens",,"Construction","Baisley Park","116-40 Guy Brewer Boulevard","Vacant","11434","40.685658","-73.783843","412","28","278","4435280","4122350022","QN1203"
,"Queens","TA USE","Occupied","Baisley Park","116-80 Guy Brewer Boulevard","NYCHA","11434","40.684875","-73.78338","412","28","278","4435282","4122350022","QN1203"
"DOE","Queens","Child Care","RESERVED","Bland","133-16 Roosevelt Avenue","League For Better Community Life, Inc.","11354","40.758288","-73.833832","407","20","871","4443446","4050370008","QN0707"
,"Queens",,"RESERVED","Bland","133-36 Roosevelt Avenue","Commonpoint","11354","40.758531","-73.833124","407","20","871","4443447","4050370008","QN0707"
"OTHER","Queens","Education / IHAD Literacy","Occupied","Ravenswood","14-01 36th Avenue #1A","I Have A Dream Foundation-NY","11106","40.760205","-73.937473","401","26","43","4430696","4003320002","QN0105"
"DOE","Queens","Child Care","Occupied","Redfern","14-66 Beach Channel Drive","Bethel Emmanuel Temple, Inc.","11691","40.609989","-73.753586","414","31","103201","4449690","4155010002","QN1401"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Redfern","15-44 Hassock Street","CCNY (The Child Center of New York)","11691","40.609102","-73.753359","414","31","103201","4449685","4155010002","QN1401"
,"Queens","Food Pantry","RESERVED","South Jamaica I","159-07 108th Avenue","The South Jamaica Community Pantry","11433","40.695434","-73.793945","412","28","25402","4440739","4101250033","QN1202"
"DOE","Queens","Child Care","Occupied","South Jamaica II","108-17 159th Street","Afro-American Parents Educational Centers, Inc.","11433","40.695014","-73.793773","412","28","25402","4457481","4101480001","QN1202"
"DOE","Queens","Child Care","Occupied","Baisley Park","116-55 Guy Brewer Boulevard","Clifford Glover Day Care Center, Inc.","11434","40.685265","-73.783585","412","28","278","4435292","4123350044","QN1203"
,"Queens","Cure Violence","RESERVED","Astoria","2-08 Astoria Boulevard","MAPP","11102","40.77367","-73.936088","401","22","87","4430795","4004900101","QN0102"
"OTHER","Queens","Child Care","Occupied","Ravenswood","21-20 35th Avenue","Catholic Charities Neighborhood Services, Inc.","11106","40.761162","-73.934992","401","26","47","4430708","4003350002","QN0105"
,"Queens","Plasterer's Shop","Occupied","Astoria","3-10 Astoria Boulevard","NYCHA","11102","40.773013","-73.933749","401","22","87","4430798","4004900101","QN0102"
"DOE","Queens","Child Care","Occupied","Ocean Bay Apartments (Oceanside)","338 Beach 56th Street","Bethel Emmanuel Temple, Inc.","11692","40.593503","-73.786115","414","31","97204","4436422","4158920001","QN1402"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Ocean Bay Apartments (Oceanside)","339 Beach 54th Street","CCNY (The Child Center of New York)","11692","40.593555","-73.784408","414","31","97204","4436420","4158920001","QN1402"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Latimer Gardens","34-30 137th Street","CCNY (The Child Center of New York)","11354","40.766044","-73.829935","407","20","88902","4443410","4049510008","QN0707"
"AGING","Queens","Senior Center","Occupied","Latimer Gardens","34-30 137th Street","Self Help Community Services, Inc","11354","40.766044","-73.829935","407","20","88902","4443410","4049510008","QN0707"
"AGING","Queens","Senior Center","Occupied","Ravenswood","34-35A 12th Street","Hellenic American Neighborhood Action Committee (HANAC)",,,,,,,,,
"OTHER","Queens","Library","Occupied","Ravenswood","35-32 21st Street","Queens Borough Public Library","11106","40.760934","-73.935801","401","26","43","4430693","4003320002","QN0105"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Ravenswood","35-40 21st Street","Jacob A. Riis Neighborhood Settlement, Inc.","11106","40.760808","-73.93592","401","26","43","4430693","4003320002","QN0105"
"OTHER","Queens","Community Center / Senior Center","Occupied","Queensbridge North","40-11 10th Street","Jacob A. Riis Neighborhood Settlement, Inc.","11101","40.756753","-73.944471","401","26","25","4433387","4004700100","QN0105"
"AGING","Queens","Senior Center","Occupied","Bland","40-15 College Point Boulevard","Spanish Speaking Elderly Council - RAICES, Inc.","11354","40.757803","-73.83414","407","20","871","4443443","4050370008","QN0707"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Astoria","4-05 Astoria Boulevard","Hellenic American Neighborhood Action Committee (HANAC)","11102","40.772947","-73.933467","401","22","87","4430787","4004900101","QN0102"
"AGING","Queens","Senior Center","Occupied","Astoria","4-05 Astoria Boulevard","Spanish Speaking Elderly Council - RAICES, Inc.","11102","40.772947","-73.933467","401","22","87","4430787","4004900101","QN0102"
"HRA","Queens","Jobs Plus","Occupied","Astoria","4-25 Astoria Boulevard","Urban Upbound (ERDA)","11102","40.772889","-73.93328","401","22","87","4430788","4004900101","QN0102"
"DYCD","Queens","Community Center - Cornerstone","Occupied","Beach 41st - Beach Channel Drive","426 Beach 40th Street","CCNY (The Child Center of New York)","11691","40.596249","-73.772408","414","31","97206","4302129","4159550003","QN1402"
"OTHER","Queens","ATTAIN LAB","Occupied","Beach 41st - Beach Channel Drive","426 Beach 40th Street","Research Foundation of the State University of New York","11691","40.596249","-73.772408","414","31","97206","4302129","4159550003","QN1402"
,"Queens","Carpentry Storage","Occupied","Woodside","49-11 Broadway","NYCHA","11377","40.755464","-73.911514","401","26","163","4431000","4007380050","QN0104"
"DYCD","Queens","Community Center - Cornerstone","RESERVED","Woodside","50-19 Broadway","Sunnyside Community Services","11377","40.754972","-73.910468","401","26","163","4431001","4007380050","QN0104"
,"Queens","Vacant Viper Rom","Vacant","Woodside","50-37 Broadway","NYCHA","11377","40.754763","-73.910021","401","26","163","4431003","4007380050","QN0104"
"AGING","Queens","Senior Center","Occupied","Woodside","50-37 Newtown Road","Samaritan Daytop Village, Inc.","11377","40.753724","-73.911047","401","26","163","4430993","4007360002","QN0104"
"HHC","Queens","Health Clinic","Occupied","Woodside","50-53 Newtown Road","New York City Department of Health / Elmhurst Hospital","11377","40.753164","-73.910752","401","26","163","4430994","4007360002","QN0104"
"AGING/OTHER","Queens","Senior Center/ COMPASS","Occupied","Pomonok","67-09 Kissena Boulevard","Queens Community House, Inc.","11367","40.735033","-73.814726","408","24","122702","4455430","4067920030","QN0802"
"DOE","Queens","Child Care","Occupied","Carleton Manor","72-05 & 71-15 Beach Channel Drive","Bethel Emmanuel Temple, Inc.","11694","40.58378","-73.839677","414","32","93401",,,"QN1403"
"DYCD","Queens","Community Center - Cornerstone","RESERVED","Hammel","81-14 Rockaway Beach Boulevard","CCNY (The Child Center of New York)","11693","40.587969","-73.807684","414","31","94202","4436315","4161140002","QN1402"
,"Queens","Job Training","RESERVED","Hammel","82-10 Rockaway Beach Boulevard","Urban Upbound (ERDA)","11693","40.587883","-73.808542","414","31","94202","4436316","4161140002","QN1402"
"AGING","Queens","Senior Center","Occupied","Shelton House","89-09 162nd Street","Allen Community Senior Citizens Center","11432","40.706571","-73.799061","412","27","44601","4208882","4097610036","QN1201"
"AGING","Queens","Senior Center","Occupied","International Towers","90-20 170th Street","Allen Community Senior Citizens Center","11432","40.708578","-73.790579","412","27","460","4209721","4098020041","QN1201"
,"Queens",,"Vacant","Conlon Lihfe","92-33 170th Street","Vacant","11433","40.706193","-73.789136","412","27","444","4457492","4102120033","QN1201"
,"Staten Island","Storage","Occupied","West Brighton II","1085 Castleton Avenue","NYCHA","10310","40.634376","-74.119353","501","49","13301","5095825","5001960001","SI0104"
"AGING","Staten Island","Senior Center","Occupied","Cassidy- Lafayette","125 Cassidy Place","Community Agency for Senior Citizens, Inc.","10301","40.641888","-74.096489","501","49","81","5001762","5000710011","SI0101"
,"Staten Island","Paint Administration","Occupied","South Beach","126 Lamport Boulevard","NYCHA","10305","40.595471","-74.077752","502","50","64","5109511","5032430100","SI0201"
,"Staten Island","NYPD","Occupied","South Beach","154 Lamport Boulevard","NYCHA","10305","40.594903","-74.077395","502","50","64","5116731","5032430100","SI0201"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","South Beach","155 Norway Avenue","United Activities Unlimited Inc","10305","40.594347","-74.079224","502","50","64","5109514","5032430100","SI0201"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","Mariner's Harbor","157 Brabant Street","United Activities Unlimited Inc","10303","40.632021","-74.16389","501","49","31901","5109121","5012450001","SI0107"
"Direct Head Start","Staten Island","Child Care","Occupied","Mariner's Harbor","166 Lockman Avenue","Richmond University Medical Center","10303","40.633097","-74.161677","501","49","31901","5110121","5012450001","SI0107"
"OTHER","Staten Island","Sports - Boxing Program","Occupied","Berry","1742 Richmond Road","NYPD's Fighting Finest, Inc.","10306","40.5877","-74.10322","502","50","11401","5116737","5035320500","SI0201"
"AGING","Staten Island","Senior Center","Occupied","Todt Hill","184 Schmidts Lane","Staten Island Comm Servs Friendship Club, Inc.","10314","40.609058","-74.119053","502","49","173","5108960","5007060001","SI0203"
"AGING","Staten Island","Senior Center","Occupied","Stapleton","189 Gordon Street","Jewish Community Center of Staten Island","10304","40.623124","-74.082838","501","49","29","5108860","5005450100","SI0102"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","Berry","211 Jefferson Street","United Activities Unlimited Inc","10306","40.586661","-74.100928","502","50","11401","5109569","5035320500","SI0201"
"OTHER","Staten Island","ATTAIN LAB","Occupied","Berry","211 Jefferson Street","Research Foundation of the State University of New York","10306","40.586661","-74.100928","502","50","11401","5109569","5035320500","SI0201"
,"Staten Island","DDC Project","RESERVED","Mariner's Harbor","22 Roxbury Street","Vacant","10303","40.633482","-74.162903","501","49","31901","5109114","5012450001","SI0107"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","Stapleton","230 Broad Street","YMCA of Greater New York - Virtual Y","10304","40.623756","-74.082216","501","49","29","5154565","5005450100","SI0102"
"Unknown","Staten Island","Unkown","Occupied","West Brighton","230 Broadway","United Activities Unlimited Inc","10310","40.636486","-74.117523","501","49","13301","5095818","5001960001","SI0104"
"AGING","Staten Island","Senior Center","Occupied","West Brighton I","230 Broadway","Catholic Charities of Staten Island, Inc.","10310","40.636486","-74.117523","501","49","13301","5095818","5001960001","SI0104"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","Todt Hill","255 Westwood Avenue","Jewish Community Center of Staten Island","10314","40.606563","-74.118774","502","49","173","5108965","5007060001","SI0203"
"DOE","Staten Island","Child Care","Occupied","Stapleton","195 Gordon Street","The Friends of Crown Heights Educational Centers, Inc.","10304","40.622959","-74.082863","501","49","29","5108860","5005450100","SI0102"
"Direct Head Start","Staten Island","Child Care","Occupied","Berry","44 Dongan Hills","Richmond University Medical Center",,,,,,,,,
"AGING","Staten Island","Senior Center","Occupied","New Lane Area","70 New Lane","Community Agency for Senior Citizens, Inc.","10305","40.612811","-74.062256","501","49","6","5042254","5028320068","SI0103"
"DYCD","Staten Island","Community Center - Cornerstone","Occupied","Richmond Terrace","71 Jersey Street","Jewish Community Center of Staten Island","10301","40.645957","-74.08824","501","49","7","5108499","5000510030","SI0101"
