"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Parkside","2972 / 2968 Bronx Park East","Mosholu Montefiore Community Center Inc.",,,,,,,,,
,"Bronx",,"Vacant","Melrose","301 East 153rd Street","Vacant","10451","40.819936","-73.920436","201","17","67","2093921","2024130001","BX0102"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Eastchester Gardens","3016 Yates Avenue","Neighborhood Initiatives Development Corporation","10469","40.870125","-73.854588","211","12","348","2093503","2045810001","BX1103"
"AGING/DYCD","Bronx","Senior Center/Community Center","Occupied","Patterson","308 East 145th Street","East Side House Settlement","10451","40.815197","-73.922179","201","8","51","2091115","2023240001","BX0101"
,"Bronx",,"Vacant","Morissania Air Rights","3131 Park Avenue","Vacant","10451","40.824068","-73.917291","204","16","173","2100990","2024209078","BX0401"
"AGING","Bronx","Senior Center","Occupied","Morissania Air Rights","3135 Park Avenue 20th Floor","Presbyterian Senior Services","10451","40.82415","-73.917164","204","16","173","2100990","2024209078","BX0401"
,"Bronx",,"Vacant","Morissania Air Rights","3210 Park Avenue","Vacant","10451","40.82528","-73.916151","203","16","141","2098307","2024099059","BX0301"
"AGING","Bronx","Senior Center","Occupied","Jackson","325 East 156th Street","Presbyterian Senior Services","10451","40.821439","-73.917995","201","17","69","2091224","2024160001","BX0102"
"AGING/DYCD","Bronx","Senior Center/ Community Center - Cornerstone","Occupied","Fort Independence Street - Heath Avenue","3350 Bailey Avenue","Mosholu Montefiore Community Center Inc.","10463","40.880093","-73.900742","208","14","277","2086835","2032610102","BX0801"
"DYCD","Bronx","Community Center - Cornerstone /COMPASS","Occupied","Patterson","340 Morris Avenue","East Side House Settlement","10451","40.813717","-73.92523","201","8","51","2091127","2023250001","BX0101"
"DOE","Bronx","Child Care","Occupied","Gun Hill","3440 White Plains Road","Northeast Bronx Day Care Center (prev. Susan E Victory)","10467","40.876214","-73.866978","212","12","374","2093518","2046290050","BX1201"
,"Bronx",,"Vacant","Gun Hill","3445 Holland Avenue","Vacant","10467","40.876118","-73.864761","212","12","374","2093517","2046290050","BX1201"
,"Bronx",,"Vacant","Gun Hill","3450 White Plains Road","Vacant","10467","40.876628","-73.866905","212","12","374","2093518","2046290050","BX1201"
,"Bronx",,"Vacant","Melrose","348 East 156th Street","Vacant","10451","40.821376","-73.917814","201","17","67","2093919","2024130001","BX0102"
"AGING","Bronx","Senior Center","Occupied","East 152nd Street-Courtlandt Avenue","372 East 152nd Street","East Side House Settlement","10455","40.818516","-73.91793","201","17","67","2090413","2023980014","BX0102"
"Direct Head Start","Bronx","Child Care","Occupied","Mott Haven","375 East 143rd Street","East Side House Settlement","10454","40.812702","-73.921622","201","8","41","2091101","2023060009","BX0101"
,"Bronx",,"Vacant","Webster","401 East 168th Street","Vacant","10456","40.832241","-73.909464","203","16","145","2091187","2023950001","BX0302"
"Direct Head Start","Bronx","Child Care","Occupied","Patterson","414 Morris Avenue","East Side House Settlement","10451","40.815528","-73.923923","201","8","51","2097853","2023240001","BX0101"
"DOE","Bronx","Child Care","Occupied","Throggs Neck","461 Swinton Avenue","Tremont Crotona Day Care Ctr., Inc.","10465","40.820332","-73.822263","210","13","144","2093888","2055820001","BX1002"
"OTHER","Bronx","COMPASS","Occupied","Morris I","489 East 169th Street","Claremont Neighborhood Center","10456","40.832965","-73.905669","203","16","14701","2092082","2029100001","BX0302"
"AGING","Bronx","Senior Center","Occupied","Moore","515 Jackson Avenue","Bronxworks, Inc.","10455","40.812353","-73.909401","201","8","35","2091284","2025570083","BX0101"
"AGING/DYCD","Bronx","Senior Center/ Community Center - Cornerstone","Occupied","Marble Hill","5365 Broadway","Mosholu Montefiore Community Center Inc.","10463","40.876062","-73.907886","208","10","309","1082782","1022150623","BX0802"
"DOE","Bronx","Child Care","Occupied","Marble Hill","5470 Broadway","Marble Hill Nursery School","10463","40.876363","-73.907343","208","10","309","1082781","1022150116","BX0802"
"OTHER","Bronx","COMPASS","Occupied","Throggs Neck Addition","550 Balcom Avenue","Kips Bay Boys & Girls Club","10465","40.820911","-73.825943","210","13","144","2091470","2055640001","BX1002"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Saint Mary's Park","595 Trinity Avenue","Bronxworks, Inc.","10455","40.81487","-73.909517","201","8","73","2091317","2026230135","BX0102"
"AGING / OTHER","Bronx","Community Center/Senior Center","Occupied","Castle Hill","625 Castle Hill Avenue","Kips Bay Boys & Girls Club","10473","40.819754","-73.848209","209","18","86","2092673","2035700001","BX0903"
"AGING","Bronx","Senior Center","Occupied","Parkside","644 Adee Avenue","Presbyterian Senior Services","10467","40.86967","-73.869106","211","12","33601","2101742","2045420100","BX1104"
,"Bronx",,"Vacant","Saint Mary's Park","675 Westchester Avenue","Vacant","10455","40.816471","-73.907799","201","8","75","2093934","2026280001","BX0102"
,"Bronx","Health Clinic","RESERVED","Adams","690 Westchester Avenue","Bronx Community Health Network","10455","40.816584","-73.907585","201","8","79","2091976","2026540002","BX0102"
,"Bronx","TA USE","Occupied","Sack-Wern","710 Noble Avenue","NYCHA","10473","40.818861","-73.867208","209","18","2002","2021985","2035940001","BX0902"
"DOE","Bronx","Child Care","Occupied","Marble Hill","5480 / 5496 Broadway","Seventh Avenue Center for Family Services",,,,,,,,,
,"Bronx",,"Vacant","Melrose","731 Courtlandt Avenue","Vacant","10451","40.820832","-73.917638","201","17","67","2093919","2024130001","BX0102"
"AGING","Bronx","Senior Center","Occupied","Adams","735 East 152nd Street","Neighborhood SHOPP","10455","40.815994","-73.907843","201","8","79","2091979","2026540002","BX0102"
,"Bronx",,"Vacant","Gun Hill","744 Gunhill Road","Vacant","10467","40.876876","-73.864868","212","12","374","2093515","2046290050","BX1201"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Gun Hill","745 Magenta Street","Mosholu Montefiore Community Center Inc.","10467","40.874944","-73.86502","212","12","374","2093516","2046290050","BX1201"
"DOE","Bronx","Child Care","Occupied","Forest","749 East 163rd Street","Southeast Bronx Neighborhood Centers, Inc.","10456","40.822957","-73.904108","203","17","133","2091965","2026390001","BX0301"
"OTHER","Bronx","COMPASS","Occupied","McKinley","751 East 161st Street + 1G, 1H","Southeast Bronx Neighborhood Centers, Inc.","10456","40.821363","-73.904836","203","17","133","2091958","2026380090","BX0301"
,"Bronx",,"Vacant","Adams","755 East 152nd Street","Vacant","10455","40.815818","-73.90699","201","8","79","2091979","2026540002","BX0102"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Pelham Parkway","785 Pelham Pkway N","Mosholu Montefiore Community Center Inc.","10467","40.857915","-73.864614","211","13","328","2093364","2043490001","BX1104"
,"Bronx",,"Vacant","Monroe","816 Soundview Avenue","Vacant","10473","40.821583","-73.866325","209","18","42","2092750","2036370001","BX0902"
,"Bronx",,"Vacant","Hunts Point Avenue Rehab","875 Irvine Street","Vacant","10474","40.818859","-73.888578","202","17","11502","2006319","2027610003","BX0201"
"DOE","Bronx","Child Care","Occupied","McKinley","909 Tinton Avenue","Southeast Bronx Neighborhood Centers, Inc.","10456","40.821974","-73.903448","203","17","133","2091959","2026380090","BX0301"
"AGING","Bronx","Senior Center","Occupied","Union Avenue-East 163rd Street","950 Union Avenue","Presbyterian Senior Services","10459","40.822812","-73.901821","203","17","12901","2005015","2026780001","BX0202"
"OTHER","Bronx","Community Center","Occupied","Forest","955 Tinton Avenue","Southeast Bronx Neighborhood Centers, Inc.","10456","40.823096","-73.902991","203","17","133","2091964","2026390001","BX0301"
"AGING","Bronx","Senior Center","Occupied","Pelham Parkway","975 Waring Avenue","Jewish Association Services For the Aged","10469","40.861214","-73.859738","211","13","324","2093415","2044440001","BX1104"
"AGING","Brooklyn","Senior Center","Occupied","Whitman","105 North Portland Avenue","Fort Greene Senior Citizens Council","11205","40.694782","-73.976116","302","35","18501","3399809","3020410001","BK0203"
,"Brooklyn",,"Vacant","303 Vernon Avenue","1060 Myrtle Avenue","Vacant","11206","40.696506","-73.939325","303","36","283","3042881","3015850001","BK0302"
"DOE","Brooklyn","Child Care","Occupied","Albany","1185 Park Place","Brooklyn Kindergarten Society","11213","40.672793","-73.938391","308","36","343","3324613","3013520080","BK0802"
"DOE","Brooklyn","Child Care","Occupied","Howard","1592 East New York Avenue","Brooklyn Kindergarten Society","11212","40.6729","-73.909345","316","41","906","3339438","3034890001","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Red Hook East","110 West 9th Street","Good Shepherd Services","11231","40.676024","-74.002318","306","38","85","3339411","3005380001","BK0601"
"DOE","Brooklyn","Child Care","Occupied","Low Houses","232 Powell Street","Brooklyn Kindergarten Society","11212","40.668946","-73.903789","316","41","908","3084013","3037450001","BK1602"
"DOE","Brooklyn","Child Care","Occupied","Brevoort","250 Ralph Avenue","Brooklyn Kindergarten Society","11233","40.68104","-73.9224","303","41","381","3325169","3016880001","BK0302"
"DOE","Brooklyn","Child Care","Occupied","Tompkins","730 Park Avenue","Brooklyn Kindergarten Society","11206","40.697942","-73.946392","303","36","25902","3324248","3017400001","BK0301"
