"BOROUGH","DEVELOPMENT NAME","ADDRESS","STATUS","SPONSOR","POSTCODE","TYPE","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Queens","Ocean Bay Apartments (Bayside)","57-10 Beach Channel Dr","Occupied","Action Center for Education and Community Development, Inc.","11692","Community Center","40.59476","-73.787436","14","31","97,203","4,436,449","4,160,020,001","Hammels-Arverne-Edgemere                                                   "
"Manhattan","Clinton","120 East 110th Street","Reserved - application on file","NYCHA","10029","Child Care ","40.795119","-73.945194","11","8","172","1,078,931","1,016,370,001","East Harlem South                                                          "
"Brooklyn","Tilden","630 Mother Gaston Blvd.","Occupied","Wayside Out-Reach Development Corporation, Inc.","11212","Senior Center","40.663471","-73.905278","16","41","912","3,326,549","3,035,760,001","Brownsville                                                                "
"Manhattan","Chelsea Addition","441 West 26th Street","Occupied","Hudson Guild","10001","Health Clinic","40.749196","-74.001815","4","3","97","1,012,827","1,007,240,010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Manhattan","Rangel","159-36 Harlem River Drive","Occupied","Catholic Charities Community Services Archdiocese of NY","10039","Community Center","40.833365","-73.935456","10","9","24,302","1,084,184","1,021,060,320","Central Harlem North-Polo Grounds                                          "
"Bronx","College Ave (1020)","1020 College Avenue","Vacant ","NYCHA","10456","Vacant","40.82904","-73.915532","4","16","175","2,002,209","2,024,330,001","East Concourse-Concourse Village                                           "
"Manhattan","Isaacs","415 East 93rd Street","Occupied","Stanley M. Isaacs Neighborhood Center","10128","Senior Center","40.780904","-73.945112","8","5","152","1,082,367","1,015,730,001","Yorkville                                                                  "
"Bronx","Pelham Parkway","2222 Wallace Avenue","Occupied","Bronx House, Inc.","10467","Child Care ","40.858343","-73.864649","11","13","328","2,093,364","2,043,490,001","Bronxdale                                                                  "
"Queens","Astoria","4-25 Astoria Blvd","Occupied","Urban Upbound","11102","Other - Jobs Plus","40.772889","-73.93328","1","22","87","4,430,788","4,004,900,101","Old Astoria                                                                "
"Queens","Woodside","50-37 Newtown Road","Occupied","Samaritan Village","11377","Senior Center","40.753724","-73.911047","1","26","163","4,430,993","4,007,360,002","Astoria                                                                    "
"Manhattan","Harlem River","2627 7th Avenue","Occupied","YMCA of Greater New York ","10039","Community Center","40.825565","-73.936197","10","9","236","1,060,197","1,020,160,060","Central Harlem North-Polo Grounds                                          "
"Manhattan","Lincoln","60 East 135th Street","Occupied","NYCHA","10037","Senior Center","40.81161","-73.934935","11","9","210","1,081,120","1,017,570,020","East Harlem North                                                          "
"Manhattan","Vladeck","351 Madison Street ","Occupied","Henry Street Settlement, Inc.","10002","NORC","40.71334","-73.982772","3","2","202","1,083,404","1,002,670,024","Lower East Side                                                            "
"Staten Island","South Beach","155 Norway Avenue","Occupied","United Activities Unlimited Inc","10305","Community Center","40.594347","-74.079224","2","50","64","5,109,514","5,032,430,100","Grasmere-Arrochar-Ft. Wadsworth                                            "
"Brooklyn","Van Dyke I ","392 Blake Avenue","Occupied","Medgar Evers","11212","Community Center","40.66635","-73.904776","16","41","910","3,394,294","3,037,770,001","Brownsville                                                                "
"Brooklyn","Cypress Hills","475 Fountain Avenue","Occupied","Directions For Our Youth, Inc.","11208","Community Center","40.668288","-73.873005","5","42","1,210","3,337,041","3,042,920,061","East New York                                                              "
"Bronx","Gun Hill","3440 White Plains Road","Occupied","Northeast Bronx Day Care Center","10467","Child Care - Early Learn","40.876472","-73.866945","12","12","374","2,093,518","2,046,290,050","Williamsbridge-Olinville                                                   "
"Queens","Ocean Bay Apts/Oceanside","339 Beach 54th Street","NYCHA HOLD","NYCHA","11692","Vacant","40.593555","-73.784408","14","31","97,204","4,436,420","4,158,920,001","Hammels-Arverne-Edgemere                                                   "
"Bronx","Soundview","1674 Seward Avenue","Occupied","NYCHA","10473","Senior Center","40.818255","-73.869832","9","18","20","2,092,638","2,035,510,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Brooklyn","Lafayette Gardens","434 DeKalb Avenue","Occupied","Cumberland Hospital ","11205","Health Clinic","40.690361","-73.960108","3","35","233","3,321,871","3,019,380,001","Bedford                                                                    "
"Manhattan","Lincoln","2112 Madison Avenue","Occupied","East Harlem Block Nursery, Inc.","10037","Child Care ","40.810664","-73.937064","11","9","210","1,081,115","1,017,570,001","East Harlem North                                                          "
"Bronx","East 180th Street-Monterey Avenue","2120 Quarry Road","Occupied","NYC Department of Education","10457","Child Care ","40.851045","-73.893292","6","15","37,504","2,011,852","2,030,620,006","East Tremont                                                               "
"Brooklyn","Williams Plaza","323 Roebling Street","Occupied","El Puente De Williamsburg","11211","Community Center","40.708266","-73.960991","1","33","525","3,341,975","3,021,400,026","North Side-South Side                                                      "
"Manhattan","Seward Park Extension","56 Essex Street","Occupied","Grand Street Settlement, Inc.","10002","Community Center","40.716838","-73.989077","3","1","18","1,083,429","1,003,510,001","Chinatown                                                                  "
"Brooklyn","Glenwood","5816 Farragut Road","Occupied","Sesame Flyers International Inc.","11234","Community Center","40.636749","-73.920568","18","45","94,402","3,331,003","3,079,780,001","Flatlands                                                                  "
"Bronx","Webster","421 East 168th Street","Vacant ","NYCHA","10456","Vacant","40.832005","-73.908709","3","16","145","2,091,186","2,023,950,001","Claremont-Bathgate                                                         "
"Bronx","Millbrook","201 St. Anns Avenue","Occupied","East Side House Settlement","10454","Other - Jobs Plus","40.805742","-73.918238","1","8","25","2,090,986","2,022,630,019","Mott Haven-Port Morris                                                     "
"Brooklyn","Breukelen","715 East 105th Street","Occupied","Police Athletic League, Inc.","11236","Community Center","40.648732","-73.896005","18","42","982","3,321,523","3,081,930,001","Canarsie                                                                   "
"Manhattan","Fort Washington Avenue Rehab","99 Ft Washington Avenue","Occupied","Riverstone Senior Life Services, Inc.","10032","Senior Center","40.83851","-73.943738","12","7","247","1,063,346","1,021,360,235","Washington Heights South                                                   "
